user,IDESessionUUID,Event,TriggeredAt,Duration
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:22:48.983467600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:22:51.487882900+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,ActivityEvent,2016-05-07T00:22:51.621972200+02:00,0
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,ActivityEvent,2016-05-07T00:22:56.881099+02:00,0
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:22:58.661599300+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:06.219662800+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:06.430802600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:10.590837300+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:14.394240900+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:17.723463+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:19.986468600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:20.283165+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:20.284166300+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:20.634898500+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:20.847539600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:20.849040500+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:31.835195800+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:32.022319600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:32.039832+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:32.546166800+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:32.782323400+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:33.053003+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:33.324182900+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:33.455770100+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:33.493294900+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:33.494295300+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:33.679918700+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:33.740458500+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:33.741459400+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.148729600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.179750400+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.180750400+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.290823400+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.319842800+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.320843700+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.435419400+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.552497200+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.572510500+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.573510900+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.790154600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.912736+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.970274100+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:34.971274500+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:35.102361600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:35.162401400+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:35.163401900+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:36.254625900+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:36.306659900+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:36.307660400+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:36.801988100+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:36.859526600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:36.860527+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:37.235775600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:37.285808800+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:37.286809700+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:37.571999800+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:37.631037900+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:37.633039600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:37.995279400+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:38.106853600+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:38.108354900+02:00,N/A
2016-05-09/10.zip,a97436aa-944d-40e3-ba65-faa736afd0d2,CommandEvent,2016-05-07T00:23:38.742274700+02:00,N/A
